"District","Region","Sub-region"
"Abim","North","Karamoja"
"Adjumani","North","West Nile"
"Agago","North","Acholi"
"Alebtong","North","Lango"
"Amolatar","North","Lango"
"Amudat","North","Karamoja"
"Amuru","North","Acholi"
"Apac","North","Lango"
"Arua","North","West Nile"
"Dokolo","North","Lango"
"Gulu","North","Acholi"
"Kaabong","North","Karamoja"
"Kitgum","North","Acholi"
"Koboko","North","West Nile"
"Kole","North","Lango"
"Kotido","North","Karamoja"
"Lamwo","North","Acholi"
"Lira","North","Lango"
"Maracha","North","West Nile"
"Moroto","North","Karamoja"
"Moyo","North","West Nile"
"Nakapiripirit","North","Karamoja"
"Napak","North","Karamoja"
"Nebbi","North","West Nile"
"Nwoya","North","Acholi"
"Otuke","North","Lango"
"Oyam","North","Lango"
"Pader","North","Acholi"
"Yumbe","North","West Nile"
"Zombo","North","West Nile"
"Karenga","North","Karamoja"
"Kwania","North","Lango"
"Nabilatuk","North","Karamoja"
"Obongi","North","West Nile"
"Omoro","North","Acholi"
"Pakwach","North","West Nile"
"Terego","North","West Nile"
"Madi-Okollo","North","West Nile"
"Amuria","East","Teso"
"Budaka","East","Bugisu"
"Bududa","East","Bugisu"
"Bugiri","East","Busoga"
"Bukedea","East","Teso"
"Bukwo","East","Bugisu"
"Bulambuli","East","Bugisu"
"Busia","East","Busoga"
"Butaleja","East","Bugisu"
"Buyende","East","Busoga"
"Iganga","East","Busoga"
"Butebo","East","Teso"
"Jinja","East","Busoga"
"Kaberamaido","East","Teso"
"Kaliro","East","Busoga"
"Kamuli","East","Busoga"
"Kapchorwa","East","Bugisu"
"Katakwi","East","Teso"
"Kibuku","East","Bugisu"
"Kumi","East","Teso"
"Kween","East","Bugisu"
"Luuka","East","Busoga"
"Manafwa","East","Bugisu"
"Namayingo","East","Busoga"
"Namutumba","East","Busoga"
"Ngora","East","Teso"
"Pallisa","East","Teso"
"Serere","East","Teso"
"Sironko","East","Bugisu"
"Soroti","East","Teso"
"Kapelebyong","East","Teso"
"Mayuge","East","Busoga"
"Mbale","East","Bugisu"
"Namisindwa","East","Bugisu"
"Tororo","East","Teso"
"Bugweri","East","Busoga"
"Kalaki","East","Teso"
"Buikwe","Central","Busoga"
"Bukomansimbi","Central","Buganda"
"Butambala","Central","Buganda"
"Buvuma","Central","Busoga"
"Gomba","Central","Buganda"
"Kalangala","Central","Buganda"
"Kalungu","Central","Buganda"
"Kayunga","Central","Buganda"
"Kiboga","Central","Buganda"
"Kyankwanzi","Central","Buganda"
"Luweero","Central","Buganda"
"Lwengo","Central","Buganda"
"Lyantonde","Central","Buganda"
"Masaka","Central","Buganda"
"Mityana","Central","Buganda"
"Mpigi","Central","Buganda"
"Mubende","Central","Buganda"
"Mukono","Central","Buganda"
"Nakaseke","Central","Buganda"
"Nakasongola","Central","Buganda"
"Rakai","Central","Buganda"
"Sembabule","Central","Buganda"
"Wakiso","Central","Buganda"
"Kasanda","Central","Buganda"
"Kyotera","Central","Buganda"
"Kampala","Central","Buganda"
"Buhweju","West","Ankole"
"Buliisa","West","Bunyoro"
"Bundibugyo","West","Rwenzori"
"Bushenyi","West","Ankole"
"Hoima","West","Bunyoro"
"Ibanda","West","Ankole"
"Isingiro","West","Ankole"
"Kabale","West","Kigezi"
"Kabarole","West","Rwenzori"
"Kamwenge","West","Rwenzori"
"Kanungu","West","Kigezi"
"Kasese","West","Rwenzori"
"Kibaale","West","Bunyoro"
"Kiruhura","West","Ankole"
"Kiryandongo","West","Bunyoro"
"Kisoro","West","Kigezi"
"Kyegegwa","West","Bunyoro"
"Kyenjojo","West","Bunyoro"
"Masindi","West","Bunyoro"
"Mbarara","West","Ankole"
"Mitooma","West","Ankole"
"Ntoroko","West","Rwenzori"
"Ntungamo","West","Ankole"
"Rubirizi","West","Ankole"
"Rukungiri","West","Kigezi"
"Sheema","West","Ankole"
"Kagadi","West","Bunyoro"
"Kakumiro","West","Bunyoro"
"Kazo","West","Ankole"
"Kikuube","West","Bunyoro"
"Kitagwenda","West","Bunyoro"
"Rubanda","West","Kigezi"
"Rukiga","West","Kigezi"
"Rwampara","West","Ankole"
"Bunyangabu","West","Rwenzori"
